"Date","Price","Open","High","Low","Vol.","Change %"
"Sep 14, 2015","7,872.25","7,811.10","7,879.95","7,761.85","126.63M","1.06%"
"Sep 11, 2015","7,789.30","7,833.80","7,864.85","7,759.90","140.58M","0.02%"
"Sep 10, 2015","7,788.10","7,729.05","7,819.85","7,678.50","165.31M","-0.39%"
"Sep 09, 2015","7,818.60","7,805.85","7,846.05","7,764.55","214.84M","1.70%"
"Sep 08, 2015","7,688.25","7,587.70","7,720.90","7,539.50","177.52M","1.71%"
"Sep 07, 2015","7,558.80","7,685.85","7,705.05","7,545.90","145.76M","-1.26%"
"Sep 04, 2015","7,655.05","7,803.40","7,804.90","7,626.85","199.57M","-2.15%"
"Sep 03, 2015","7,823.00","7,774.45","7,845.60","7,754.05","160.61M","1.37%"
"Sep 02, 2015","7,717.00","7,856.65","7,862.55","7,699.25","222.00M","-0.88%"
"Sep 01, 2015","7,785.85","7,907.95","7,929.10","7,746.50","190.58M","-2.33%"
"Aug 31, 2015","7,971.30","8,009.25","8,043.60","7,947.95","204.26M","-0.38%"
"Aug 28, 2015","8,001.95","8,053.70","8,091.80","7,961.65","201.57M","0.67%"
"Aug 27, 2015","7,948.95","7,921.60","7,963.60","7,862.30","314.42M","2.02%"
"Aug 26, 2015","7,791.85","7,865.25","7,930.05","7,777.10","223.26M","-1.13%"
"Aug 25, 2015","7,880.70","7,895.40","7,925.40","7,667.25","308.26M","0.92%"
"Aug 24, 2015","7,809.00","8,055.95","8,060.05","7,769.40","322.10M","-5.92%"
"Aug 21, 2015","8,299.95","8,305.40","8,322.20","8,225.05","207.54M","-0.87%"
"Aug 20, 2015","8,372.75","8,471.05","8,501.35","8,359.75","189.84M","-1.44%"
"Aug 19, 2015","8,495.15","8,468.05","8,520.45","8,425.95","134.51M","0.34%"
"Aug 18, 2015","8,466.55","8,505.85","8,525.75","8,433.60","157.99M","-0.13%"
"Aug 17, 2015","8,477.30","8,530.50","8,530.60","8,428.05","180.08M","-0.48%"
"Aug 14, 2015","8,518.55","8,402.35","8,530.10","8,381.20","160.68M","1.95%"
"Aug 13, 2015","8,355.85","8,384.45","8,429.50","8,339.75","195.08M","0.08%"
"Aug 12, 2015","8,349.45","8,445.70","8,446.95","8,337.95","195.90M","-1.33%"
"Aug 11, 2015","8,462.35","8,548.45","8,556.25","8,441.30","159.19M","-0.74%"
"Aug 10, 2015","8,525.60","8,577.00","8,621.55","8,497.80","127.20M","-0.46%"
"Aug 07, 2015","8,564.60","8,580.80","8,595.95","8,552.70","148.07M","-0.28%"
"Aug 06, 2015","8,588.65","8,585.80","8,606.30","8,551.50","139.12M","0.24%"
"Aug 05, 2015","8,567.95","8,547.45","8,591.85","8,545.85","136.95M","0.60%"
"Aug 04, 2015","8,516.90","8,564.10","8,565.15","8,448.25","193.23M","-0.31%"
"Aug 03, 2015","8,543.05","8,510.65","8,563.95","8,508.10","161.49M","0.12%"
"Jul 31, 2015","8,532.85","8,456.10","8,548.95","8,448.00","209.63M","1.32%"
"Jul 30, 2015","8,421.80","8,417.00","8,458.90","8,408.30","221.94M","0.56%"
"Jul 29, 2015","8,375.05","8,365.60","8,381.50","8,338.45","145.40M","0.46%"
"Jul 28, 2015","8,337.00","8,371.10","8,397.40","8,321.75","179.98M","-0.29%"
"Jul 27, 2015","8,361.00","8,492.10","8,492.20","8,351.55","140.83M","-1.88%"
"Jul 24, 2015","8,521.55","8,588.15","8,589.15","8,513.50","131.35M","-0.79%"
"Jul 23, 2015","8,589.80","8,643.95","8,654.75","8,573.80","136.96M","-0.51%"
"Jul 22, 2015","8,633.50","8,512.25","8,643.90","8,498.65","141.02M","1.22%"
"Jul 21, 2015","8,529.45","8,601.50","8,646.75","8,517.90","169.15M","-0.86%"
"Jul 20, 2015","8,603.45","8,623.90","8,624.10","8,559.00","93.44M","-0.07%"
"Jul 17, 2015","8,609.85","8,623.65","8,642.95","8,593.15","108.19M","0.02%"
"Jul 16, 2015","8,608.05","8,546.15","8,616.10","8,542.90","119.64M","0.99%"
"Jul 15, 2015","8,523.80","8,463.40","8,531.40","8,462.95","108.84M","0.82%"
"Jul 14, 2015","8,454.10","8,470.60","8,480.25","8,424.10","104.89M","-0.07%"
"Jul 13, 2015","8,459.65","8,397.25","8,471.65","8,355.40","121.38M","1.19%"
"Jul 10, 2015","8,360.55","8,365.70","8,377.10","8,315.40","158.88M","0.38%"
"Jul 09, 2015","8,328.55","8,364.85","8,400.30","8,323.00","135.36M","-0.41%"
"Jul 08, 2015","8,363.05","8,439.20","8,457.50","8,341.40","193.89M","-1.74%"
"Jul 07, 2015","8,510.80","8,525.50","8,561.35","8,483.85","126.04M","-0.13%"
"Jul 06, 2015","8,522.15","8,386.15","8,533.15","8,386.15","104.58M","0.44%"
"Jul 03, 2015","8,484.90","8,440.10","8,497.75","8,424.15","91.14M","0.47%"
"Jul 02, 2015","8,444.90","8,471.95","8,479.25","8,433.20","115.47M","-0.10%"
"Jul 01, 2015","8,453.05","8,376.25","8,481.60","8,370.15","135.89M","1.01%"
"Jun 30, 2015","8,368.50","8,316.35","8,378.00","8,298.95","163.37M","0.60%"
